Code,Given Names,Statutory Given Names,Statutory Family Name,Street Address,Street Address 2,Suburb,Post Code,Mobile No.,Email,Birth Date,PayLocation,Basis of Employment
101,Test F 1,Test F 1,Test L 1,1 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,1/08/1991,PRAM - Production AM,Full Time
102,Test F 2,Test F 2,Test L 2,2 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,2/08/1991,PRAM - Production AM,Full Time
103,Test F 3,Test F 3,Test L 3,3 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,3/08/1991,PRAM - Production AM,Full Time
104,Test F 4,Test F 4,Test L 4,4 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,4/08/1991,PRAM - Production AM,Full Time
105,Test F 5,Test F 5,Test L 5,5 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,5/08/1991,PRAM - Production AM,Full Time
106,Test F 6,Test F 6,Test L 6,6 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,6/08/1991,PRAM - Production AM,Full Time
107,Test F 7,Test F 7,Test L 7,7 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,7/08/1991,PRAM - Production AM,Full Time
108,Test F 8,Test F 8,Test L 8,8 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,8/08/1991,PRAM - Production AM,Full Time
109,Test F 9,Test F 9,Test L 9,9 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,9/08/1991,PRAM - Production AM,Full Time
110,Test F 10,Test F 10,Test L 10,10 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,10/08/1991,PRAM - Production AM,Full Time
111,Test F 11,Test F 11,Test L 11,11 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,11/08/1991,PRAM - Production PM,Full Time
112,Test F 12,Test F 12,Test L 12,12 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,12/08/1991,PRAM - Production PM,Full Time
113,Test F 13,Test F 13,Test L 13,13 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,13/08/1991,PRAM - Production PM,Full Time
114,Test F 14,Test F 14,Test L 14,14 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,14/08/1991,PRAM - Production PM,Full Time
115,Test F 15,Test F 15,Test L 15,15 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,15/08/1991,PRAM - Production PM,Full Time
116,Test F 16,Test F 16,Test L 16,16 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,16/08/1991,PRAM - Production PM,Full Time
117,Test F 17,Test F 17,Test L 17,17 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,17/08/1991,PRAM - Production PM,Full Time
118,Test F 18,Test F 18,Test L 18,18 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,18/08/1991,PRAM - Production PM,Full Time
119,Test F 19,Test F 19,Test L 19,19 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,19/08/1991,PRAM - Production PM,Full Time
120,Test F 20,Test F 20,Test L 20,20 Colac Street,,Colac,3250,439028028,jclarke@alcolac.com.au,20/08/1991,PRAM - Production PM,Full Time
